,P01_All_GFP,P01_All_GFP_PCA,P01_All_PCA_GFP
P01_All_GFP,1,0.9953865834617972,0.9883536707881924
P01_All_GFP_PCA,0.9953865834617972,1,0.98282196645915
P01_All_PCA_GFP,0.9883536707881924,0.98282196645915,1
