,P10_All_GFP,P10_All_GFP_PCA,P10_All_PCA_GFP
P10_All_GFP,1.0,0.9884547328153916,0.9820422727818751
P10_All_GFP_PCA,0.9884547328153916,1.0,
P10_All_PCA_GFP,0.9820422727818751,,1.0
