,P07_All_GFP,P07_All_GFP_PCA,P07_All_PCA_GFP
P07_All_GFP,1.0,0.9946752068030725,0.9898652723180684
P07_All_GFP_PCA,0.9946752068030725,1.0,
P07_All_PCA_GFP,0.9898652723180684,,1.0
