,P06_All_GFP,P06_All_GFP_PCA,P06_All_PCA_GFP
P06_All_GFP,1.0,0.9868555655264296,0.960490277705409
P06_All_GFP_PCA,0.9868555655264296,1.0,
P06_All_PCA_GFP,0.960490277705409,,1.0
