,P04_All_GFP,P04_All_GFP_PCA,P04_All_PCA_GFP
P04_All_GFP,1.0,0.9834825619645159,0.9616205293622431
P04_All_GFP_PCA,0.9834825619645159,1.0,
P04_All_PCA_GFP,0.9616205293622431,,1.0
