,P02_All_GFP,P02_All_GFP_PCA,P02_All_PCA_GFP
P02_All_GFP,1.0,0.9904540884061679,0.9771325628279558
P02_All_GFP_PCA,0.9904540884061679,1.0,
P02_All_PCA_GFP,0.9771325628279558,,1.0
