,P05_All_GFP,P05_All_GFP_PCA,P05_All_PCA_GFP
P05_All_GFP,1.0,0.9859899051845601,0.910806882843372
P05_All_GFP_PCA,0.9859899051845601,1.0,
P05_All_PCA_GFP,0.910806882843372,,1.0
