,P03_All_GFP,P03_All_GFP_PCA,P03_All_PCA_GFP
P03_All_GFP,1.0,0.9937858401648375,0.9900445791874845
P03_All_GFP_PCA,0.9937858401648375,1.0,
P03_All_PCA_GFP,0.9900445791874845,,1.0
