,P08_All_GFP,P08_All_GFP_PCA,P08_All_PCA_GFP
P08_All_GFP,1.0,0.9823619209541927,0.9708331632561826
P08_All_GFP_PCA,0.9823619209541927,1.0,
P08_All_PCA_GFP,0.9708331632561826,,1.0
